hero_id,name,roles,5_pick,5_win,6_pick,6_win,7_pick,7_win,8_pick,8_win,5_winrate,6_winrate,7_winrate,8_winrate,mean_winrate
1,npc_dota_hero_antimage,Carry-Escape-Nuker,24524,12479,10418,5317,4297,2152,1189,615,0.5088484749633012,0.5103666730658476,0.500814521759367,0.5172413793103449,0.5093177622747151
2,npc_dota_hero_axe,Initiator-Durable-Disabler-Jungler-Carry,18891,9372,7354,3612,2679,1286,541,237,0.4961092583770049,0.49116127277672017,0.48002986188876445,0.43807763401109057,0.476344506763395
3,npc_dota_hero_bane,Support-Disabler-Nuker-Durable,19306,10150,10446,5665,5827,3129,2979,1605,0.5257432922407542,0.5423128470227838,0.5369830101252788,0.5387713997985901,0.5359526372968517
4,npc_dota_hero_bloodseeker,Carry-Disabler-Jungler-Nuker-Initiator,9434,4741,4289,2169,1882,907,780,386,0.5025439898240407,0.5057122872464443,0.4819341126461211,0.4948717948717949,0.4962655461471003
5,npc_dota_hero_crystal_maiden,Support-Disabler-Nuker-Jungler,19206,9438,7919,3885,2835,1350,817,377,0.49140893470790376,0.49059224649576966,0.47619047619047616,0.4614443084455324,0.4799089914599205
6,npc_dota_hero_drow_ranger,Carry-Disabler-Pusher,18781,9521,7772,3839,3222,1576,902,447,0.5069485117938342,0.49395265054040144,0.489137181874612,0.4955654101995565,0.49640093860210105
7,npc_dota_hero_earthshaker,Support-Initiator-Disabler-Nuker,38484,19252,17817,9106,7968,4016,2647,1361,0.5002598482486228,0.511084918897682,0.5040160642570282,0.5141669814884775,0.5073819532229527
8,npc_dota_hero_juggernaut,Carry-Pusher-Escape,35213,18395,14526,7557,5196,2618,1087,536,0.5223922982989236,0.520239570425444,0.5038491147036182,0.49310027598896045,0.5098953148542366
9,npc_dota_hero_mirana,Carry-Support-Escape-Nuker-Disabler,27493,13997,11787,6091,4772,2476,1664,887,0.509111410177136,0.5167557478578094,0.5188600167644594,0.5330528846153846,0.5194450148536973
10,npc_dota_hero_morphling,Carry-Escape-Durable-Nuker-Disabler,24022,11266,11960,5609,5815,2757,2431,1176,0.46898676213470986,0.4689799331103679,0.47411865864144453,0.48375154257507197,0.4739592241153986
11,npc_dota_hero_nevermore,Carry-Nuker,31953,15824,13935,6807,5786,2881,1486,689,0.49522736519262667,0.4884822389666308,0.4979260283442793,0.4636608344549125,0.4863241167396123
12,npc_dota_hero_phantom_lancer,Carry-Escape-Pusher-Nuker,12378,6242,5649,2843,3019,1571,1179,613,0.5042817902730651,0.5032749159143212,0.5203709837694601,0.5199321458863444,0.5119649589607977
13,npc_dota_hero_puck,Initiator-Disabler-Escape-Nuker,16091,7333,8038,3699,3734,1747,1336,655,0.4557205891492139,0.4601891017666086,0.46786288162828066,0.4902694610778443,0.4685105084054868
14,npc_dota_hero_pudge,Disabler-Initiator-Durable-Nuker,61044,29958,27010,13211,10948,5307,2600,1219,0.4907607627285237,0.4891151425398001,0.48474607234198025,0.46884615384615386,0.4833670328641145
15,npc_dota_hero_razor,Carry-Durable-Nuker-Pusher,8831,4435,4158,2137,1744,890,547,279,0.5022081304495527,0.5139490139490139,0.5103211009174312,0.5100548446069469,0.5091332724807361
16,npc_dota_hero_sand_king,Initiator-Disabler-Support-Nuker-Escape-Jungler,20141,10324,9821,5090,4517,2274,1609,808,0.5125862668189266,0.5182771611852154,0.5034314810715076,0.5021752641392169,0.5091175433037166
17,npc_dota_hero_storm_spirit,Carry-Escape-Nuker-Initiator-Disabler,27905,13213,13055,6253,6230,2983,2318,1116,0.47349937287224514,0.4789735733435465,0.47881219903691813,0.4814495254529767,0.4781836676764216
18,npc_dota_hero_sven,Carry-Disabler-Initiator-Durable-Nuker,17935,8605,8274,3939,3950,1853,1647,802,0.4797881237803178,0.4760696156635243,0.4691139240506329,0.4869459623557984,0.47797940646256837
19,npc_dota_hero_tiny,Carry-Nuker-Pusher-Initiator-Durable-Disabler,40306,20576,19415,10007,9265,4764,3255,1709,0.5104947154269835,0.5154262168426474,0.5141932002158661,0.5250384024577573,0.5162881337358136
20,npc_dota_hero_vengefulspirit,Support-Initiator-Disabler-Nuker-Escape,16131,8210,6960,3554,2906,1494,846,437,0.5089579071353295,0.510632183908046,0.5141087405368203,0.516548463356974,0.5125618237342925
21,npc_dota_hero_windrunner,Carry-Support-Disabler-Escape-Nuker,38985,19524,17696,8982,7742,3879,2498,1249,0.5008080030781069,0.5075723327305606,0.501033324722294,0.5,0.5023534151327403
22,npc_dota_hero_zuus,Nuker-Carry,18698,9689,7432,3808,2621,1306,533,261,0.5181837629693016,0.5123789020452099,0.4982830980541778,0.4896810506566604,0.5046317034313373
23,npc_dota_hero_kunkka,Carry-Support-Disabler-Initiator-Durable-Nuker,22333,11107,9904,4885,4091,1984,1391,710,0.49733578113106164,0.49323505654281097,0.48496700073331706,0.5104241552839683,0.49649049842278953
25,npc_dota_hero_lina,Support-Carry-Nuker-Disabler,34072,16310,15485,7601,7302,3585,2742,1341,0.47869218126320734,0.4908621246367452,0.49096138044371407,0.4890590809628009,0.48739369182661685
26,npc_dota_hero_lion,Support-Disabler-Nuker-Initiator,53045,25224,22969,10915,9953,4704,2798,1360,0.4755207842397964,0.4752057120466716,0.47262132020496334,0.4860614724803431,0.4773523222429436
27,npc_dota_hero_shadow_shaman,Support-Pusher-Disabler-Nuker-Initiator,24598,12752,10680,5435,4461,2292,1302,636,0.5184161313927962,0.5088951310861424,0.5137861466039004,0.48847926267281105,0.5073941679389126
28,npc_dota_hero_slardar,Carry-Durable-Initiator-Disabler-Escape,13040,6565,5422,2746,2318,1199,690,339,0.5034509202453987,0.5064551825894504,0.5172562553925798,0.49130434782608695,0.5046166765133789
29,npc_dota_hero_tidehunter,Initiator-Durable-Disabler-Nuker-Carry,23713,11898,10923,5390,4862,2345,1743,827,0.5017500948846624,0.49345417925478346,0.48231180584121763,0.474469305794607,0.4879963464438176
30,npc_dota_hero_witch_doctor,Support-Nuker-Disabler,22065,10662,8412,4029,2876,1340,641,285,0.4832087015635622,0.4789586305278174,0.4659248956884562,0.44461778471138846,0.46817750312280604
31,npc_dota_hero_lich,Support-Nuker,17059,8612,7704,3765,3296,1624,1014,506,0.5048361568673427,0.4887071651090343,0.49271844660194175,0.4990138067061144,0.4963188938211083
32,npc_dota_hero_riki,Carry-Escape-Disabler,9529,5006,4050,2148,1710,903,524,263,0.5253436876902088,0.5303703703703704,0.5280701754385965,0.5019083969465649,0.5214231576114351
33,npc_dota_hero_enigma,Disabler-Jungler-Initiator-Pusher,10480,5856,4461,2458,1959,1073,595,317,0.5587786259541985,0.5509975341851603,0.5477284328739153,0.5327731092436975,0.5475694255642428
34,npc_dota_hero_tinker,Carry-Nuker-Pusher,27578,14565,13101,7043,6079,3383,1977,1064,0.5281383711654217,0.5375925501870086,0.5565060042770192,0.5381891755184623,0.540106525286978
35,npc_dota_hero_sniper,Carry-Nuker,28106,14309,9887,4893,3068,1497,580,255,0.50910837543585,0.49489228279559017,0.4879400260756193,0.4396551724137931,0.4828989641802131
36,npc_dota_hero_necrolyte,Carry-Nuker-Durable-Disabler,20673,11124,9779,5263,4464,2399,1463,770,0.5380931649978232,0.5381940893751918,0.537410394265233,0.5263157894736842,0.535003359527983
